MARKS,RANK,Predicted Rank
93,24946,29181.0
93,24722,29181.0
94,24265,28395.0
95,23751,27629.0
96,23259,26883.0
97,22773,26157.0
98,22294,25448.0
99,21811,24758.0
100,21357,24086.0
101,20923,23432.0
102,20484,22794.0
103,20048,22173.0
104,19601,21568.0
105,19153,20978.0
106,18713,20404.0
107,18267,19845.0
108,17840,19300.0
109,17409,18770.0
110,17005,18253.0
111,16609,17750.0
112,16231,17260.0
113,15851,16783.0
114,15467,16319.0
115,15101,15867.0
116,14730,15426.0
117,14368,14997.0
118,14034,14580.0
119,13693,14173.0
120,13351,13778.0
121,13029,13393.0
122,12701,13018.0
123,12366,12653.0
124,12074,12297.0
125,11785,11951.0
126,11500,11615.0
127,11201,11287.0
128,10903,10968.0
129,10624,10658.0
130,10351,10356.0
131,10088,10062.0
132,9801,9776.0
133,9533,9498.0
134,9294,9227.0
135,9051,8963.0
136,8838,8707.0
137,8599,8458.0
138,8351,8215.0
139,8105,7979.0
140,7882,7749.0
141,7670,7526.0
142,7466,7308.0
143,7263,7097.0
144,7062,6891.0
145,6863,6691.0
146,6664,6497.0
147,6463,6308.0
148,6296,6124.0
149,6127,5945.0
150,5951,5771.0
151,5801,5602.0
152,5651,5437.0
153,5501,5277.0
154,5351,5122.0
155,5201,4971.0
156,5069,4824.0
157,4927,4681.0
158,4789,4542.0
159,4651,4407.0
160,4513,4276.0
161,4383,4148.0
162,4252,4024.0
163,4122,3904.0
164,4009,3787.0
165,3896,3673.0
166,3788,3563.0
167,3667,3455.0
168,3562,3351.0
169,3469,3249.0
170,3358,3151.0
171,3258,3055.0
172,3169,2962.0
173,3065,2872.0
174,2963,2784.0
175,2874,2699.0
176,2770,2616.0
177,2699,2536.0
178,2625,2458.0
179,2557,2382.0
180,2479,2308.0
181,2388,2237.0
182,2301,2167.0
183,2233,2100.0
184,2163,2034.0
185,2094,1971.0
186,2019,1909.0
187,1961,1849.0
188,1904,1791.0
189,1845,1735.0
190,1782,1680.0
191,1718,1627.0
192,1669,1575.0
193,1618,1525.0
194,1573,1477.0
195,1513,1430.0
196,1458,1384.0
197,1407,1340.0
198,1360,1297.0
199,1306,1255.0
200,1261,1214.0
201,1220,1175.0
202,1183,1137.0
203,1137,1100.0
204,1098,1064.0
205,1056,1030.0
206,1014,996.0
207,985,963.0
208,946,932.0
209,914,901.0
210,880,871.0
211,856,842.0
212,825,814.0
213,798,787.0
214,771,761.0
215,752,736.0
216,729,711.0
217,703,687.0
218,687,664.0
219,663,641.0
220,642,620.0
221,616,599.0
222,601,578.0
223,588,559.0
224,559,539.0
225,541,521.0
226,520,503.0
227,501,486.0
228,492,469.0
229,471,453.0
230,455,437.0
231,442,422.0
232,427,407.0
233,410,393.0
234,399,379.0
235,388,365.0
236,379,352.0
237,369,340.0
238,355,328.0
239,345,316.0
240,337,305.0
241,322,294.0
242,310,283.0
243,301,273.0
244,292,263.0
245,280,253.0
246,268,244.0
247,262,235.0
248,240,227.0
249,231,218.0
250,224,210.0
251,217,202.0
252,211,195.0
253,201,187.0
254,197,180.0
255,190,174.0
256,185,167.0
257,180,161.0
258,175,155.0
259,170,149.0
260,165,143.0
261,158,137.0
262,155,132.0
263,146,127.0
264,137,122.0
265,132,117.0
266,127,113.0
267,122,108.0
268,117,104.0
269,110,100.0
270,103,96.0
271,94,92.0
272,88,88.0
273,82,85.0
274,78,81.0
275,75,78.0
276,71,75.0
277,67,72.0
278,63,69.0
279,59,66.0
280,55,63.0
281,53,60.0
282,52,58.0
283,51,55.0
284,50,53.0
285,49,51.0
286,48,48.0
287,47,46.0
288,46,44.0
289,45,42.0
290,43,40.0
291,37,39.0
292,36,37.0
293,35,35.0
294,34,34.0
295,32,32.0
296,31,31.0
297,30,29.0
298,19,28.0
299,18,27.0
300,17,25.0
301,16,24.0
302,15,23.0
303,15,22.0
304,15,21.0
305,14,20.0
306,14,19.0
307,13,18.0
308,13,17.0
309,12,16.0
310,12,15.0
311,11,14.0
312,11,14.0
313,10,13.0
314,10,12.0
315,10,12.0
316,9,11.0
317,9,10.0
318,9,10.0
319,8,9.0
320,8,9.0
321,8,8.0
322,7,8.0
323,7,7.0
324,7,7.0
325,6,6.0
326,6,6.0
327,6,6.0
328,5,5.0
329,5,5.0
330,5,5.0
331,4,4.0
332,4,4.0
333,4,4.0
334,4,3.0
335,3,3.0
336,3,3.0
337,3,3.0
338,3,2.0
339,2,2.0
340,2,2.0
341,2,2.0
342,2,2.0
343,1,1.0
344,1,1.0
345,1,
346,1,
