MARKS,RANK,Predicted Rank
93,24946,25739.0
93,24722,25739.0
94,24265,25059.0
95,23751,24396.0
96,23259,23749.0
97,22773,23119.0
98,22294,22505.0
99,21811,21906.0
100,21357,21322.0
101,20923,20753.0
102,20484,20199.0
103,20048,19658.0
104,19601,19131.0
105,19153,18618.0
106,18713,18118.0
107,18267,17630.0
108,17840,17155.0
109,17409,16693.0
110,17005,16242.0
111,16609,15802.0
112,16231,15374.0
113,15851,14957.0
114,15467,14550.0
115,15101,14154.0
116,14730,13769.0
117,14368,13393.0
118,14034,13027.0
119,13693,12670.0
120,13351,12323.0
121,13029,11984.0
122,12701,11655.0
123,12366,11334.0
124,12074,11021.0
125,11785,10717.0
126,11500,10421.0
127,11201,10132.0
128,10903,9851.0
129,10624,9577.0
130,10351,9310.0
131,10088,9051.0
132,9801,8798.0
133,9533,8552.0
134,9294,8313.0
135,9051,8079.0
136,8838,7852.0
137,8599,7631.0
138,8351,7416.0
139,8105,7207.0
140,7882,7003.0
141,7670,6805.0
142,7466,6612.0
143,7263,6424.0
144,7062,6241.0
145,6863,6063.0
146,6664,5890.0
147,6463,5721.0
148,6296,5557.0
149,6127,5398.0
150,5951,5243.0
151,5801,5092.0
152,5651,4945.0
153,5501,4802.0
154,5351,4663.0
155,5201,4528.0
156,5069,4396.0
157,4927,4268.0
158,4789,4144.0
159,4651,4023.0
160,4513,3905.0
161,4383,3790.0
162,4252,3679.0
163,4122,3571.0
164,4009,3466.0
165,3896,3363.0
166,3788,3264.0
167,3667,3167.0
168,3562,3073.0
169,3469,2982.0
170,3358,2893.0
171,3258,2806.0
172,3169,2722.0
173,3065,2641.0
174,2963,2561.0
175,2874,2484.0
176,2770,2409.0
177,2699,2337.0
178,2625,2266.0
179,2557,2197.0
180,2479,2130.0
181,2388,2065.0
182,2301,2002.0
183,2233,1941.0
184,2163,1882.0
185,2094,1824.0
186,2019,1768.0
187,1961,1713.0
188,1904,1660.0
189,1845,1609.0
190,1782,1559.0
191,1718,1510.0
192,1669,1463.0
193,1618,1418.0
194,1573,1373.0
195,1513,1330.0
196,1458,1288.0
197,1407,1248.0
198,1360,1208.0
199,1306,1170.0
200,1261,1133.0
201,1220,1097.0
202,1183,1062.0
203,1137,1028.0
204,1098,995.0
205,1056,963.0
206,1014,932.0
207,985,902.0
208,946,873.0
209,914,845.0
210,880,817.0
211,856,790.0
212,825,765.0
213,798,740.0
214,771,715.0
215,752,692.0
216,729,669.0
217,703,647.0
218,687,625.0
219,663,605.0
220,642,584.0
221,616,565.0
222,601,546.0
223,588,528.0
224,559,510.0
225,541,493.0
226,520,476.0
227,501,460.0
228,492,444.0
229,471,429.0
230,455,414.0
231,442,400.0
232,427,386.0
233,410,373.0
234,399,360.0
235,388,347.0
236,379,335.0
237,369,323.0
238,355,312.0
239,345,301.0
240,337,290.0
241,322,280.0
242,310,270.0
243,301,261.0
244,292,251.0
245,280,242.0
246,268,234.0
247,262,225.0
248,240,217.0
249,231,209.0
250,224,201.0
251,217,194.0
252,211,187.0
253,201,180.0
254,197,173.0
255,190,167.0
256,185,161.0
257,180,155.0
258,175,149.0
259,170,143.0
260,165,138.0
261,158,132.0
262,155,127.0
263,146,123.0
264,137,118.0
265,132,113.0
266,127,109.0
267,122,105.0
268,117,101.0
269,110,97.0
270,103,93.0
271,94,89.0
272,88,86.0
273,82,82.0
274,78,79.0
275,75,76.0
276,71,73.0
277,67,70.0
278,63,67.0
279,59,64.0
280,55,61.0
281,53,59.0
282,52,56.0
283,51,54.0
284,50,52.0
285,49,49.0
286,48,47.0
287,47,45.0
288,46,43.0
289,45,41.0
290,43,40.0
291,37,38.0
292,36,36.0
293,35,35.0
294,34,33.0
295,32,32.0
296,31,30.0
297,30,29.0
298,19,27.0
299,18,26.0
300,17,25.0
301,16,24.0
302,15,23.0
303,15,22.0
304,15,20.0
305,14,19.0
306,14,19.0
307,13,18.0
308,13,17.0
309,12,16.0
310,12,15.0
311,11,14.0
312,11,14.0
313,10,13.0
314,10,12.0
315,10,12.0
316,9,11.0
317,9,10.0
318,9,10.0
319,8,9.0
320,8,9.0
321,8,8.0
322,7,8.0
323,7,7.0
324,7,7.0
325,6,6.0
326,6,6.0
327,6,6.0
328,5,5.0
329,5,5.0
330,5,5.0
331,4,4.0
332,4,4.0
333,4,4.0
334,4,3.0
335,3,3.0
336,3,3.0
337,3,3.0
338,3,2.0
339,2,2.0
340,2,2.0
341,2,2.0
342,2,2.0
343,1,1.0
344,1,1.0
345,1,
346,1,
